anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
A000,A000,A000,A000,,A000
A000,A000,A009,A009,,A009
A001,A001,A001,A009,,A001 - A009
A009,A009,A009,A009,,A009
A010,A010,A010,A010,,A010
A010,A010,A014,A014,,A014
A010,A010,B200,B24,,B200 - B24
A010,A010,C000,C969,,C000 - C969
A010,A010,D800,D899,,D800 - D899
A010,A010,R75,R75,,R75
A010,A010,Y632,Y632,,Y632
A010,A010,Y842,Y842,,Y842
A011,A011,A011,A011,,A011
A011,A011,A014,A014,,A014
A011,A011,B200,B24,,B200 - B24
A011,A011,C000,C969,,C000 - C969
A011,A011,D800,D899,,D800 - D899
A011,A011,R75,R75,,R75
A011,A011,Y632,Y632,,Y632
A011,A011,Y842,Y842,,Y842
A012,A012,A012,A012,,A012
A012,A012,A014,A014,,A014
A012,A012,B200,B24,,B200 - B24
A012,A012,C000,C969,,C000 - C969
A012,A012,D800,D899,,D800 - D899
A012,A012,R75,R75,,R75
A012,A012,Y632,Y632,,Y632
A012,A012,Y842,Y842,,Y842
A013,A013,A013,A014,,A013 - A014
A013,A013,B200,B24,,B200 - B24
A013,A013,C000,C969,,C000 - C969
A013,A013,D800,D899,,D800 - D899
A013,A013,R75,R75,,R75
A013,A013,Y632,Y632,,Y632
A013,A013,Y842,Y842,,Y842
A014,A014,A014,A014,,A014
A014,A014,B200,B24,,B200 - B24
A014,A014,C000,C969,,C000 - C969
A014,A014,D800,D899,,D800 - D899
A014,A014,R75,R75,,R75
A014,A014,Y632,Y632,,Y632
A014,A014,Y842,Y842,,Y842
A020,A029,A020,A029,,A020 - A029
A020,A029,B200,B24,,B200 - B24
A020,A029,C000,C969,,C000 - C969
A020,A029,D800,D899,,D800 - D899
A020,A029,R75,R75,,R75
A020,A029,Y632,Y632,,Y632
A020,A029,Y842,Y842,,Y842
A030,A030,A030,A030,,A030
A030,A030,A039,A039,,A039
A030,A030,B200,B24,,B200 - B24
A030,A030,C000,C969,,C000 - C969
A030,A030,D800,D899,,D800 - D899
A030,A030,R75,R75,,R75
A030,A030,Y632,Y632,,Y632
A030,A030,Y842,Y842,,Y842
A031,A031,A031,A031,,A031
A031,A031,A039,A039,,A039
A031,A031,B200,B24,,B200 - B24
A031,A031,C000,C969,,C000 - C969
A031,A031,D800,D899,,D800 - D899
A031,A031,R75,R75,,R75
A031,A031,Y632,Y632,,Y632
A031,A031,Y842,Y842,,Y842
A032,A032,A032,A032,,A032
A032,A032,A039,A039,,A039
A032,A032,B200,B24,,B200 - B24
A032,A032,C000,C969,,C000 - C969
A032,A032,D800,D899,,D800 - D899
A032,A032,R75,R75,,R75
A032,A032,Y632,Y632,,Y632
A032,A032,Y842,Y842,,Y842
A033,A033,A033,A033,,A033
A033,A033,A039,A039,,A039
A033,A033,B200,B24,,B200 - B24
A033,A033,C000,C969,,C000 - C969
A033,A033,D800,D899,,D800 - D899
A033,A033,R75,R75,,R75
A033,A033,Y632,Y632,,Y632
A033,A033,Y842,Y842,,Y842
A038,A038,A038,A039,,A038 - A039
A038,A038,B200,B24,,B200 - B24
A038,A038,C000,C969,,C000 - C969
A038,A038,D800,D899,,D800 - D899
A038,A038,R75,R75,,R75
A038,A038,Y632,Y632,,Y632
A038,A038,Y842,Y842,,Y842
A039,A039,A039,A039,,A039
A039,A039,B200,B24,,B200 - B24
A039,A039,C000,C969,,C000 - C969
A039,A039,D800,D899,,D800 - D899
A039,A039,R75,R75,,R75
A039,A039,Y632,Y632,,Y632
A039,A039,Y842,Y842,,Y842
A040,A050,A000,R002,,A000 - R002
A040,A050,R008,U079,,R008 - U079
A040,A050,U099,U109,,U099 - U109
A040,A050,U129,Y98,,U129 - Y98
A051,A051,A051,A051,,A051
A051,A051,A059,A059,,A059
A052,A099,A000,R002,,A000 - R002
A052,A099,R008,U079,,R008 - U079
A052,A099,U099,U109,,U099 - U109
A052,A099,U129,Y98,,U129 - Y98
A150,A150,A150,A199,,A150 - A199
A150,A150,B200,B24,,B200 - B24
A150,A150,C000,C969,,C000 - C969
A150,A150,D800,D899,,D800 - D899
A150,A150,R75,R75,,R75
A150,A150,Y632,Y632,,Y632
A150,A150,Y842,Y842,,Y842
A151,A151,A151,A199,,A151 - A199
A151,A151,B200,B24,,B200 - B24
A151,A151,C000,C969,,C000 - C969
A151,A151,D800,D899,,D800 - D899
A151,A151,R75,R75,,R75
A151,A151,Y632,Y632,,Y632
A151,A151,Y842,Y842,,Y842
A152,A152,A152,A199,,A152 - A199
A152,A152,B200,B24,,B200 - B24
A152,A152,C000,C969,,C000 - C969
A152,A152,D800,D899,,D800 - D899
A152,A152,R75,R75,,R75
A152,A152,Y632,Y632,,Y632
A152,A152,Y842,Y842,,Y842
A153,A153,A153,A199,,A153 - A199
A153,A153,B200,B24,,B200 - B24
A153,A153,C000,C969,,C000 - C969
A153,A153,D800,D899,,D800 - D899
A153,A153,R75,R75,,R75
A153,A153,Y632,Y632,,Y632
A153,A153,Y842,Y842,,Y842
A154,A154,A154,A199,,A154 - A199
A154,A154,B200,B24,,B200 - B24
A154,A154,C000,C969,,C000 - C969
A154,A154,D800,D899,,D800 - D899
A154,A154,R75,R75,,R75
A154,A154,Y632,Y632,,Y632
A154,A154,Y842,Y842,,Y842
A155,A155,A155,A199,,A155 - A199
A155,A155,B200,B24,,B200 - B24
A155,A155,C000,C969,,C000 - C969
A155,A155,D800,D899,,D800 - D899
A155,A155,R75,R75,,R75
