anchor,rule_type,modifier,source_start,source_end,target,raw_body,page
A009,SMP,,A000,A001,,A000 - A001,1
A010,DSC,,B200,B200,B207,B200 B207,1
A010,DS,,B201,B201,,B201,1
A010,DSC,,B202,B206,B207,B202 - B206 B207,1
A010,DS,,B207,B207,,B207,1
A010,DSC,,B208,B208,B207,B208 B207,1
A010,DSC,,B209,B209,B201,B209 B201,1
A010,DSC,,B210,B222,B227,B210 - B222 B227,1
A010,DS,,B227,B227,,B227,1
A010,DSC,,B230,B232,B227,B230 - B232 B227,1
A010,DSC,,B238,B24,B201,B238 - B24 B201,1
A014,SMP,,A010,A013,,A010 - A013,1
A014,DSC,,B200,B200,B207,B200 B207,1
A014,DS,,B201,B201,,B201,1
A014,DSC,,B202,B206,B207,B202 - B206 B207,1
A014,DS,,B207,B207,,B207,1
A014,DSC,,B208,B208,B207,B208 B207,1
A014,DSC,,B209,B209,B201,B209 B201,1
A014,DSC,,B210,B222,B227,B210 - B222 B227,1
A014,DS,,B227,B227,,B227,1
A014,DSC,,B230,B232,B227,B230 - B232 B227,1
A014,DSC,,B238,B24,B201,B238 - B24 B201,1
A020,DSC,,B200,B200,B207,B200 B207,1
A020,DS,,B201,B201,,B201,1
A020,DSC,,B202,B206,B207,B202 - B206 B207,1
A020,DS,,B207,B207,,B207,1
A020,DSC,,B208,B208,B207,B208 B207,1
A020,DSC,,B209,B209,B201,B209 B201,1
A020,DSC,,B210,B222,B227,B210 - B222 B227,1
A020,DS,,B227,B227,,B227,1
A020,DSC,,B230,B232,B227,B230 - B232 B227,1
A020,DSC,,B238,B24,B201,B238 - B24 B201,1
A021,LMC,,B200,B200,B207,B200 B207,1
A021,LMC,,B202,B206,B207,B202 - B206 B207,1
A021,LMP,,B207,B207,,B207,1
A021,LMC,,B208,B208,B207,B208 B207,1
A021,LMC,,B210,B222,B227,B210 - B222 B227,1
A021,LMP,,B227,B227,,B227,1
A021,LMC,,B230,B232,B227,B230 - B232 B227,1
A021,LMC,,B238,B24,B201,B238 - B24 B201,1
A021,DSC,,R75,R75,B201,R75 B201,1
A021,LMC,,R75,R75,B201,R75 B201,1
A022,DSC,,B200,B200,B207,B200 B207,1
A022,DS,,B201,B201,,B201,1
A022,DSC,,B202,B206,B207,B202 - B206 B207,1
A022,DS,,B207,B207,,B207,1
